model_type,n_features,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
logit,19,0.7333333333333333,0.057865049664833176,0.7420528982820418,0.05213950211468134,0.7820555555555555,0.03841842407806411
rf,19,0.7270967741935485,0.11687217418554069,0.7198847926267281,0.13637477078775834,0.781611111111111,0.09539301421222539
