model_type,n_features,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
logit,27,0.6946236559139785,0.01874795244533627,0.6928424313296394,0.04084582251295465,0.7712222222222223,0.019570701205603523
rf,27,0.74,0.09642086034719693,0.736472343007382,0.10633746172800504,0.7807222222222221,0.09046153947096407
