,Resilient,Vulnerable,difference
gvkey,60837.17721518988,76222.8115942029,-15385.63437901302
mktcap,13403.736687937064,7005.969585385731,6397.767102551333
assets,4232.112,3095.183580127536,1136.928419872464
current_assets,1866.4213544303798,1348.4735084985507,517.9478459318291
intangibles,1272.6991715962097,850.2386304347826,422.46054116142705
cash,990.2078987341772,590.2579435420289,399.9499551921483
current_liabilities,1080.7880175696203,715.2965808985507,365.49143667106955
debt_total,1227.1266094835441,881.7617384724638,345.36487101108037
long_term_debt,1077.9903689772152,769.6379865884059,308.35238238880936
p_to_s,255.60518829786014,54.267216262309546,201.3379720355506
revenue,635.2273487582278,458.1598863144927,177.06746244373505
equity,1554.6682255696203,1434.7268307246377,119.9413948449826
net_income,97.16459493670885,-2.8331993463768104,99.99779428308567
p_to_e,65.19641656877896,15.010835398493374,50.18558117028559
operating_income,76.4984430379747,34.87910206811594,41.619340969858754
rd,79.4267341772152,47.50155072463768,31.925183452577514
cogs,283.98926254683545,252.37532208115942,31.613940465676023
end_price,70.72403670886077,48.167285507246376,22.55675120161439
mkt_to_book,7.003499756739615,0.051942721431764996,6.951557035307849
start_price,59.73354683544304,53.491417391304346,6.242129444138698
rd_to_sales,3.7833483472670477,0.8191984472214953,2.9641499000455527
op_margin,-4.403533828650818,-1.8930405849437346,-2.5104932437070833
debt_to_equity,1.0127310498728634,0.1642648159354556,0.8484662339374078
net_margin,-4.305097330096019,-3.667691101532749,-0.63740622856327
gross_margin,0.5450235235096461,0.09197888062344173,0.4530446428862044
log_mktcap,7.668995566818602,7.24397920220377,0.42501636461483194
CAR,0.19340693114663926,-0.16890387434744444,0.3623108054940837
log_assets,7.110123077468079,6.769993863332072,0.34012921413600683
raw_return,0.23311742117451137,-0.0959334301456678,0.3290508513201792
excess_return,0.22397452027290962,-0.10507633104726954,0.3290508513201792
current_ratio,3.266701905217512,3.490209358840147,-0.22350745362263513
MaxDrawdown,-0.05048043286442646,-0.14487650359895582,0.09439607073452935
cash_to_assets,0.3476046577639623,0.27742649950025206,0.07017815826371027
cash_ratio,2.2503518143565313,2.182544611065814,0.06780720329071732
roa,-0.013271898822965771,-0.06988146856358861,0.05660956974062284
debt_to_assets,0.20459460980155064,0.23600655943021853,-0.03141194962866789
asset_turnover,0.18323095893407787,0.15929781057790163,0.023933148356176243
intangibles_to_assets,0.19824299923493177,0.22113759475656689,-0.022894595521635114
roe,-0.020824291338522698,-0.001784467485155696,-0.019039823853367003
Volatility,0.053025863550056625,0.04871064809879937,0.004315215451257258
long_term_debt_ratio,0.17619018806267728,0.17845767209113647,-0.0022674840284591935
normal_return_spy,0.0091429009016017,0.0091429009016017,0.0
cluster,1.0,1.0,0.0
