model_type,n_features,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
logit,8,0.5633064516129032,0.07821801174999776,0.5165492234457751,0.08403948472498533,0.5616666666666666,0.06817535250540407
rf,8,0.5306451612903226,0.07920231457296484,0.5294040374770599,0.0827546069066125,0.56796875,0.05575739160640498
